Drill Listing
=============
Drill: .011  Tool: 1  Feed: 95  Speed: 300
X 326141  Y 783330
X 328677  Y 795956
X 329881  Y 788645
X 329881  Y 779309
X 343626  Y 774665
X 350126  Y 794165
X 359626  Y 794165
X 362812  Y 771924
X 371511  Y 788972
X 372175  Y 775033
X 376126  Y 782665
X 390534  Y 786086
X 386578  Y 798639
X 379178  Y 803586
X 370433  Y 797700
X 362666  Y 813684
X 361181  Y 818566
X 343661  Y 798268
X 340055  Y 813766
X 322008  Y 798281
X 315868  Y 812781
X 301725  Y 798639
X 298126  Y 813665
X 287362  Y 810375
X 280286  Y 809770
X 278307  Y 817975
X 274163  Y 820766
X 273441  Y 798639
X 280669  Y 833254
X 286969  Y 833254
X 316131  Y 836540
X 322008  Y 826512
X 334345  Y 822531
X 343465  Y 822087
X 345986  Y 844350
X 354488  Y 835124
X 372436  Y 841065
X 386578  Y 826923
X 386578  Y 855207
X 372436  Y 869349
X 358294  Y 855207
X 342283  Y 864629
X 333380  Y 869562
X 329367  Y 869738
X 327381  Y 864590
X 301725  Y 855207
X 287583  Y 869349
X 273441  Y 855207
X 273948  Y 880766
X 301725  Y 883492
X 321402  Y 874645
X 325814  Y 886137
X 329805  Y 890258
X 333146  Y 887655
X 337935  Y 877727
X 358294  Y 883492
X 386578  Y 883492
X 372436  Y 897634
X 358294  Y 911776
X 344152  Y 897634
X 330010  Y 911776
X 315868  Y 897634
X 301725  Y 911776
X 286459  Y 897780
X 301725  Y 940060
X 315868  Y 925918
X 322603  Y 937423
X 329881  Y 937309
X 344152  Y 925918
X 358294  Y 940060
X 372436  Y 954202
X 342480  Y 973938
X 329881  Y 975062
X 329881  Y 972109
X 317283  Y 972700
X 306949  Y 959384
X 287583  Y 954202

Drill: .035  Tool: 2  Feed: 197  Speed: 550
X 367381  Y 424590
X 367381  Y 437090
X 396023  Y 452031
X 339133  Y 552227
X 292086  Y 494353
X 256653  Y 593684
X 256653  Y 573684
X 256653  Y 583684
X 345826  Y 592975
X 352322  Y 573881
X 341889  Y 698290
X 298779  Y 840023
X 303110  Y 829983
X 352322  Y 785889
X 362440  Y 989038
X 352440  Y 989038
X 317381  Y 864590
X 307322  Y 989038
X 297322  Y 989038

Drill: .039  Tool: 3  Feed: 197  Speed: 550
X 398188  Y 640771
X 402188  Y 670771
X 402188  Y 694708
X 398188  Y 674708
X 394188  Y 694708
X 394188  Y 670771

Drill: .07087  Tool: 4  Feed: 81  Speed: 550
X 292086  Y 462660
X 367677  Y 462660
X 367677  Y 971322
X 292086  Y 971322

End of Listing
