Channel1(V)
1.58267
1.58199
1.58233
1.58165
1.58097
1.58233
1.58233
1.58199
1.58267
1.58267
1.58233
1.58233
1.58267
1.5837
1.58336
1.58233
1.58199
1.58199
1.58233
1.58233
1.58302
1.58302
1.58233
1.58267
1.58233
1.58302
1.5837
1.58336
1.5837
1.58302
1.58267
1.58233
1.58267
1.58267
1.58267
1.58233
1.58267
1.58336
1.58336
1.58302
1.58336
1.58233
1.58233
1.58336
1.58302
1.58302
1.58267
1.58199
1.58267
1.58336
1.58404
1.58404
1.5837
1.58336
1.58336
1.58267
1.5837
1.58473
1.58473
1.58438
1.58507
1.58507
1.58404
1.58473
1.5837
1.5837
1.58438
1.58302
1.58267
1.5837
1.58404
1.58507
1.58302
1.58336
1.58404
1.58233
1.58302
1.5837
1.58404
1.58267
1.58302
1.58404
1.5837
1.58404
1.5837
1.58302
1.58336
1.58336
1.58302
1.58336
1.58302
1.58267
1.58199
1.58199
1.58267
1.58302
1.58336
1.58336
1.58336
1.58233
1.58199
1.58302
1.58302
1.58233
1.58336
1.58267
1.58267
1.58336
1.58302
1.58404
1.58336
1.58336
1.58302
1.58233
1.58267
1.58233
1.58199
1.58199
1.58233
1.58302
1.58267
1.58267
1.58302
1.58302
1.58302
1.58267
1.58267
1.58267
1.58267
1.58233
1.58267
1.58267
1.58302
1.58233
1.58097
1.58199
1.58131
1.58097
1.58233
1.58233
1.58165
1.58165
1.58165
1.58165
1.58165
1.58199
1.58233
1.58336
1.5837
1.58165
1.58165
1.58233
1.58233
1.58233
1.58302
1.58302
1.58267
1.58199
1.58199
1.58199
1.58233
1.58199
1.58302
1.58336
1.5837
1.5837
1.58302
1.58302
1.58302
1.58267
1.58404
1.58302
1.58302
1.58302
1.58336
1.58438
1.58438
1.58404
1.58473
1.58404
1.5837
1.58302
1.58404
1.58438
1.58404
1.58438
1.58336
1.58267
1.58336
1.58438
1.58609
1.58575
1.58643
1.58643
1.58507
1.58609
1.58541
1.58473
1.58438
1.58438
1.58336
1.58233
1.58267
1.58302
1.58199
1.58233
1.58199
1.58199
1.58302
1.58302
1.58302
1.5837
1.58302
1.58404
1.58336
1.58336
1.58336
1.58233
1.58199
1.58233
1.58233
1.58267
1.58302
1.58267
1.58267
1.58302
1.58302
1.58267
1.58267
1.58302
1.58267
1.5837
1.58336
1.58404
1.58336
1.58336
1.58336
1.58267
1.58233
1.58267
1.58336
1.58267
1.58233
1.58233
1.58233
1.58233
1.58233
1.58199
1.58131
1.58131
1.58131
1.58199
1.58199
1.58199
1.58199
1.58165
1.58165
1.58267
1.58267
1.58267
1.58302
1.58267
1.58267
1.58267
1.58267
1.58267
1.58233
1.58233
1.58131
1.58233
1.58199
1.58233
1.58302
1.58233
1.58267
1.58267
1.58165
1.58267
1.58199
1.58199
1.58165
1.58165
1.58199
1.58233
1.58267
1.58165
1.58233
1.58233
1.58233
1.58336
1.58302
1.58302
1.58302
1.58302
1.58404
1.58336
1.58302
1.5837
1.58267
1.58302
1.58302
1.58336
1.58336
1.58336
1.5837
1.58302
1.58336
1.58336
1.58302
1.58233
1.58267
1.58267
1.5837
1.58404
1.58473
1.58336
1.58336
1.58473
1.58404
1.58404
1.58438
1.5837
1.58336
1.5837
1.58541
1.58473
1.58473
1.58507
1.58438
1.58438
1.58438
1.58404
1.58473
1.58404
1.58302
1.58233
1.58165
1.58199
1.58165
1.58199
1.58199
1.58199
1.58131
1.58097
1.58165
1.58199
1.58267
1.58267
1.58267
1.58233
1.5837
1.58336
1.5837
1.58438
1.58404
1.58404
1.58336
1.5837
1.58302
1.58165
1.58302
1.58507
1.58404
1.58336
1.58438
1.58473
1.58336
1.58267
1.58233
1.58233
1.58267
1.58233
1.58199
1.58302
1.58233
1.58233
1.58233
1.58199
1.58267
1.58233
1.58302
1.58267
1.58233
1.58199
1.58233
1.58233
1.58233
1.58267
1.58267
1.58233
1.58267
1.58233
1.58233
1.58267
1.58199
1.58199
1.58233
1.58267
1.58267
1.58233
1.58165
1.58131
1.57994
1.57994
1.58028
1.58165
1.58131
1.58165
1.58165
1.58097
1.58062
1.58199
1.58233
1.58336
1.58336
1.58233
1.58233
1.58267
1.58267
1.58267
1.58233
1.58233
1.58233
1.58165
1.58199
1.58199
1.58199
1.58199
1.58199
1.58267
1.58302
1.58302
1.58233
1.58267
1.5837
1.58404
1.58404
1.5837
1.58438
1.58438
1.5837
1.5837
1.5837
1.58302
1.58233
1.58267
1.58336
1.58302
