Drill Listing
=============
Drill: .01  Tool: 1  Feed: 95  Speed: 300
X 1238000  Y 1235500
X 1252285  Y 1215767
X 1244000  Y 1215181
X 1254000  Y 1206500
X 1234000  Y 1203000
X 1233000  Y 1192500
X 1247512  Y 1190201
X 1248000  Y 1179500
X 1234972  Y 1159871
X 1230000  Y 1157500
X 1249550  Y 1156373
X 1235000  Y 1152500
X 1237944  Y 1149963
X 1235000  Y 1147500
X 1235729  Y 1134821
X 1238411  Y 1130411
X 1248234  Y 1119343
X 1250782  Y 1118266
X 1250901  Y 1115666
X 1242241  Y 1114900
X 1249523  Y 1112146
X 1240500  Y 1109000
X 1242024  Y 1105953
X 1249667  Y 1105699
X 1238000  Y 1105500
X 1248232  Y 1100272
X 1242291  Y 1097866
X 1247843  Y 1094900
X 1250044  Y 1093479
X 1235800  Y 1089701
X 1253112  Y 1089256
X 1250896  Y 1087633
X 1239000  Y 1082500
X 1244095  Y 1081388
X 1248043  Y 1080936
X 1253000  Y 1067000
X 1231433  Y 1059747
X 1242535  Y 1059747
X 1234608  Y 1021313
X 1250000  Y 1005000
X 1269567  Y 1010142
X 1269963  Y 1021313
X 1277000  Y 1033000
X 1264082  Y 1066627
X 1271181  Y 1084109
X 1267000  Y 1087000
X 1259854  Y 1088488
X 1272400  Y 1089296
X 1270461  Y 1092000
X 1271181  Y 1101000
X 1265500  Y 1110500
X 1263827  Y 1113140
X 1266526  Y 1113451
X 1277804  Y 1114968
X 1257662  Y 1121339
X 1261500  Y 1121500
X 1267222  Y 1122844
X 1270426  Y 1126501
X 1266104  Y 1131414
X 1274500  Y 1131500
X 1259500  Y 1136500
X 1274440  Y 1139763
X 1262333  Y 1148579
X 1258141  Y 1149201
X 1277000  Y 1151500
X 1274181  Y 1155000
X 1263050  Y 1157000
X 1274181  Y 1163752
X 1272819  Y 1167552
X 1259181  Y 1174400
X 1272819  Y 1175000
X 1274259  Y 1180922
X 1277184  Y 1195422
X 1277761  Y 1202186
X 1274638  Y 1224378
X 1270000  Y 1224500
X 1295719  Y 1224586
X 1289714  Y 1224503
X 1283225  Y 1224503
X 1292960  Y 1224503
X 1285825  Y 1224378
X 1280543  Y 1224378
X 1283431  Y 1217304
X 1289229  Y 1215000
X 1282500  Y 1214200
X 1283500  Y 1207600
X 1289500  Y 1207500
X 1283220  Y 1205000
X 1289675  Y 1200825
X 1282552  Y 1199915
X 1290500  Y 1180000
X 1296500  Y 1174500
X 1293900  Y 1174400
X 1302900  Y 1165100
X 1302500  Y 1145500
X 1299484  Y 1139397
X 1293824  Y 1135886
X 1287819  Y 1134599
X 1297861  Y 1134000
X 1289234  Y 1132413
X 1295639  Y 1131139
X 1281289  Y 1131063
X 1285089  Y 1130993
X 1287913  Y 1129759
X 1294406  Y 1128695
X 1290174  Y 1128420
X 1300000  Y 1125000
X 1286552  Y 1121485
X 1287667  Y 1115411
X 1296251  Y 1114096
X 1284819  Y 1092900
X 1287481  Y 1086196
X 1302000  Y 1085549
X 1301894  Y 1081749
X 1280000  Y 1081500
X 1293531  Y 1079469
X 1293500  Y 1076500
X 1285018  Y 1076280
X 1288176  Y 1069614
X 1293527  Y 1062736
X 1287783  Y 1056366
X 1297000  Y 1052181
X 1287142  Y 1046567
X 1292000  Y 1007500
X 1320000  Y 1005000
X 1310000  Y 1020000
X 1322996  Y 1038990
X 1306000  Y 1051492
X 1319500  Y 1053400
X 1319500  Y 1056000
X 1329793  Y 1057942
X 1313340  Y 1069618
X 1323500  Y 1071000
X 1309726  Y 1071226
X 1316184  Y 1079500
X 1321622  Y 1102793
X 1327283  Y 1106894
X 1325352  Y 1112500
X 1321500  Y 1117000
X 1320500  Y 1120500
X 1310450  Y 1120507
X 1311645  Y 1129145
X 1322572  Y 1131631
X 1317606  Y 1132332
X 1306500  Y 1133000
X 1306900  Y 1143107
X 1315262  Y 1146387
X 1306276  Y 1148373
X 1311500  Y 1148500
X 1306500  Y 1150981
X 1327636  Y 1151311
X 1322636  Y 1152500
X 1327636  Y 1155444
X 1306500  Y 1158381
X 1323388  Y 1159212
X 1318000  Y 1161500
X 1305924  Y 1164700
X 1317892  Y 1174217
X 1328499  Y 1174371
X 1307024  Y 1175876
X 1318664  Y 1184667
X 1325000  Y 1194500
X 1313000  Y 1194500
X 1328024  Y 1194947
X 1313000  Y 1198500
X 1319216  Y 1199080
X 1328060  Y 1202612
X 1319096  Y 1205842
X 1314709  Y 1210235
X 1312866  Y 1212219
X 1320500  Y 1213000
X 1315255  Y 1224500
X 1322996  Y 1251123
X 1321000  Y 1258500
X 1340674  Y 1268800
X 1344450  Y 1243000
X 1331162  Y 1236881
X 1340674  Y 1233445
X 1340367  Y 1220549
X 1336250  Y 1208880
X 1347450  Y 1181000
X 1331099  Y 1174479
X 1331720  Y 1168715
X 1331394  Y 1163092
X 1331641  Y 1139400
X 1331274  Y 1133902
X 1330649  Y 1128664
X 1333749  Y 1126161
X 1332413  Y 1115714
X 1331641  Y 1068394
X 1340674  Y 1056668

Drill: .012  Tool: 2  Feed: 95  Speed: 300
X 1187876  Y 1074481
X 1203992  Y 1074600
X 1244000  Y 1212000
X 1232077  Y 1189079
X 1229549  Y 1183402
X 1225836  Y 1094502
X 1246171  Y 1073792

Drill: .01969  Tool: 3  Feed: 95  Speed: 300
X 1122500  Y 1222000
X 1112500  Y 1222000
X 1117500  Y 1232000
X 1127500  Y 1232000
X 1147500  Y 1232000
X 1137500  Y 1232000
X 1142500  Y 1222000
X 1132500  Y 1222000
X 1169236  Y 1285350 X 1169236  Y 1287909
X 1198763  Y 1285350 X 1198763  Y 1287909

Drill: .02  Tool: 4  Feed: 197  Speed: 550
X 1218000  Y 1085000
X 1016596  Y 1212059
X 1225504  Y 1285963
X 1302724  Y 1226530
X 1248360  Y 1183347
X 1266219  Y 1170867
X 1287016  Y 1145075
X 1291838  Y 1069300
X 1311275  Y 1065459
X 1304908  Y 1067038
X 1338427  Y 1228000

Drill: .02362  Tool: 5  Feed: 197  Speed: 550
X 1174944  Y 1276000 X 1173370  Y 1276000
X 1194629  Y 1276000 X 1193055  Y 1276000

Drill: .02756  Tool: 6  Feed: 197  Speed: 550
X 1105098  Y 1270267
X 1144901  Y 1270267
X 1115098  Y 1276251
X 1154901  Y 1276251

