#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41D55
#Date Time: 2020-05-13 22:34:45.432
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 1 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.478533,1.58233
-0.478408,1.58131
-0.478283,1.58233
-0.478158,1.58199
-0.478033,1.58233
-0.477908,1.58302
-0.477783,1.58233
-0.477658,1.58267
-0.477533,1.58267
-0.477408,1.58165
-0.477283,1.58267
-0.477158,1.58199
-0.477033,1.58199
-0.476908,1.58165
-0.476783,1.58165
-0.476658,1.58199
-0.476533,1.58233
-0.476408,1.58267
-0.476283,1.58165
-0.476158,1.58233
-0.476033,1.58233
-0.475908,1.58233
-0.475783,1.58336
-0.475658,1.58302
-0.475533,1.58302
-0.475408,1.58302
-0.475283,1.58302
-0.475158,1.58404
-0.475033,1.58336
-0.474908,1.58302
-0.474783,1.5837
-0.474658,1.58267
-0.474533,1.58302
-0.474408,1.58302
-0.474283,1.58336
-0.474158,1.58336
-0.474033,1.58336
-0.473908,1.5837
-0.473783,1.58302
-0.473658,1.58336
-0.473533,1.58336
-0.473408,1.58302
-0.473283,1.58233
-0.473158,1.58267
-0.473033,1.58267
-0.472908,1.5837
-0.472783,1.58404
-0.472658,1.58473
-0.472533,1.58336
-0.472408,1.58336
-0.472283,1.58473
-0.472158,1.58404
-0.472033,1.58404
-0.471908,1.58438
-0.471783,1.5837
-0.471658,1.58336
-0.471533,1.5837
-0.471408,1.58541
-0.471283,1.58473
-0.471158,1.58473
-0.471033,1.58507
-0.470908,1.58438
-0.470783,1.58438
-0.470658,1.58438
-0.470533,1.58404
-0.470408,1.58473
-0.470283,1.58404
-0.470158,1.58302
-0.470033,1.58233
-0.469908,1.58165
-0.469783,1.58199
-0.469658,1.58165
-0.469533,1.58199
-0.469408,1.58199
-0.469283,1.58199
-0.469158,1.58131
-0.469033,1.58097
