#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41D55
#Date Time: 2020-05-22 13:56:41.748
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 1.8 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.511958,2.18834
-0.511833,2.18869
-0.511708,2.18903
-0.511583,2.18903
-0.511458,2.18903
-0.511333,2.18903
-0.511208,2.18971
-0.511083,2.1904
-0.510958,2.19074
-0.510833,2.19005
-0.510708,2.18971
-0.510583,2.1904
-0.510458,2.19142
-0.510333,2.19142
-0.510208,2.1921
-0.510083,2.1921
-0.509958,2.1921
-0.509833,2.19245
-0.509708,2.19245
-0.509583,2.19279
-0.509458,2.19279
-0.509333,2.19313
-0.509208,2.19313
-0.509083,2.19313
-0.508958,2.19313
-0.508833,2.19347
-0.508708,2.19347
-0.508583,2.19347
-0.508458,2.19381
-0.508333,2.19313
-0.508208,2.19279
-0.508083,2.19313
-0.507958,2.19313
-0.507833,2.19313
-0.507708,2.19279
-0.507583,2.19279
-0.507458,2.19279
-0.507333,2.19245
-0.507208,2.1921
-0.507083,2.19176
-0.506958,2.19142
-0.506833,2.19108
-0.506708,2.19108
-0.506583,2.19074
-0.506458,2.1904
-0.506333,2.19005
-0.506208,2.18971
-0.506083,2.18971
-0.505958,2.18869
-0.505833,2.18732
-0.505708,2.18732
-0.505583,2.18698
-0.505458,2.18664
-0.505333,2.18629
-0.505208,2.18561
-0.505083,2.18458
-0.504958,2.1839
-0.504833,2.1839
-0.504708,2.18322
-0.504583,2.18322
-0.504458,2.18288
-0.504333,2.18253
-0.504208,2.18151
-0.504083,2.18048
-0.503958,2.18014
-0.503833,2.1798
-0.503708,2.17912
-0.503583,2.17877
-0.503458,2.17809
-0.503333,2.17741
-0.503208,2.17706
-0.503083,2.17604
-0.502958,2.17536
-0.502833,2.17501
-0.502708,2.17467
-0.502583,2.17433
-0.502458,2.17399
-0.502333,2.17262
-0.502208,2.17296
-0.502083,2.17262
-0.501958,2.17228
-0.501833,2.17228
-0.501708,2.1716
-0.501583,2.17091
-0.501458,2.17057
-0.501333,2.16989
-0.501208,2.1692
-0.501083,2.16852
-0.500958,2.16784
-0.500833,2.16715
-0.500708,2.16647
-0.500583,2.16544
-0.500458,2.1651
-0.500333,2.16442
-0.500208,2.16339
-0.500083,2.16271
-0.499958,2.16203
-0.499833,2.16134
-0.499708,2.161
-0.499583,2.15997
-0.499458,2.15861
-0.499333,2.15827
-0.499208,2.15724
-0.499083,2.1569
-0.498958,2.15622
-0.498833,2.15485
-0.498708,2.15451
-0.498583,2.15382
-0.498458,2.1528
-0.498333,2.15177
-0.498208,2.15109
-0.498083,2.15109
-0.497958,2.15109
-0.497833,2.15006
-0.497708,2.14938
-0.497583,2.1487
-0.497458,2.14699
-0.497333,2.1463
-0.497208,2.14664
-0.497083,2.14664
-0.496958,2.14699
-0.496833,2.14596
-0.496708,2.14562
-0.496583,2.14562
-0.496458,2.14459
-0.496333,2.14323
-0.496208,2.14391
-0.496083,2.14391
-0.495958,2.14357
-0.495833,2.14323
-0.495708,2.1422
-0.495583,2.14186
-0.495458,2.14118
-0.495333,2.14083
-0.495208,2.14118
-0.495083,2.14083
-0.494958,2.14049
-0.494833,2.14049
-0.494708,2.14015
-0.494583,2.13981
-0.494458,2.14015
-0.494333,2.13947
-0.494208,2.13947
-0.494083,2.13913
-0.493958,2.13913
-0.493833,2.13981
-0.493708,2.14015
-0.493583,2.14015
-0.493458,2.14015
-0.493333,2.14049
-0.493208,2.14015
-0.493083,2.14049
-0.492958,2.14015
-0.492833,2.13981
-0.492708,2.14049
-0.492583,2.14049
-0.492458,2.14049
-0.492333,2.14083
-0.492208,2.14083
-0.492083,2.14118
-0.491958,2.14118
-0.491833,2.14118
-0.491708,2.14152
-0.491583,2.14152
-0.491458,2.14152
-0.491333,2.14186
-0.491208,2.14152
-0.491083,2.14152
-0.490958,2.14152
-0.490833,2.14152
-0.490708,2.14186
-0.490583,2.14152
-0.490458,2.14118
-0.490333,2.14152
-0.490208,2.14118
-0.490083,2.14118
-0.489958,2.14152
-0.489833,2.14152
-0.489708,2.14152
-0.489583,2.14152
-0.489458,2.14186
-0.489333,2.14186
-0.489208,2.14186
-0.489083,2.1422
-0.488958,2.1422
-0.488833,2.14152
-0.488708,2.1422
-0.488583,2.14254
-0.488458,2.1422
-0.488333,2.14254
-0.488208,2.14288
-0.488083,2.14288
-0.487958,2.14152
-0.487833,2.1422
-0.487708,2.1422
-0.487583,2.1422
-0.487458,2.1422
-0.487333,2.14186
-0.487208,2.1422
-0.487083,2.1422
-0.486958,2.14186
-0.486833,2.14186
-0.486708,2.14152
-0.486583,2.14118
-0.486458,2.14118
-0.486333,2.14118
-0.486208,2.14083
-0.486083,2.14015
-0.485958,2.13981
-0.485833,2.13981
-0.485708,2.13947
-0.485583,2.13913
-0.485458,2.13947
-0.485333,2.13947
-0.485208,2.13913
-0.485083,2.13913
-0.484958,2.13913
-0.484833,2.13878
-0.484708,2.13878
-0.484583,2.13844
-0.484458,2.13844
-0.484333,2.13844
-0.484208,2.13776
-0.484083,2.13776
-0.483958,2.1381
-0.483833,2.13776
-0.483708,2.13776
-0.483583,2.13742
-0.483458,2.13707
-0.483333,2.13742
