#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41D55
#Date Time: 2020-05-21 14:21:31.473
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 1.6 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.478614,1.89542
-0.478489,1.89747
-0.478364,1.89918
-0.478239,1.90021
-0.478114,1.90226
-0.477989,1.90465
-0.477864,1.90602
-0.477739,1.90738
-0.477614,1.90841
-0.477489,1.90978
-0.477364,1.91149
-0.477239,1.91251
-0.477114,1.91354
-0.476989,1.9149
-0.476864,1.91593
-0.476739,1.91696
-0.476614,1.91764
-0.476489,1.91935
-0.476364,1.92037
-0.476239,1.92208
-0.476114,1.92277
-0.475989,1.92379
-0.475864,1.92379
-0.475739,1.92447
-0.475614,1.92584
-0.475489,1.92653
-0.475364,1.92721
-0.475239,1.92823
-0.475114,1.92892
-0.474989,1.92858
-0.474864,1.92926
-0.474739,1.92994
-0.474614,1.93029
-0.474489,1.93063
-0.474364,1.93131
-0.474239,1.93234
-0.474114,1.93234
-0.473989,1.93302
-0.473864,1.93405
-0.473739,1.93439
-0.473614,1.93541
-0.473489,1.93575
-0.473364,1.9361
-0.473239,1.93712
-0.473114,1.93712
-0.472989,1.9378
-0.472864,1.93849
-0.472739,1.93917
-0.472614,1.93951
-0.472489,1.9402
-0.472364,1.9402
-0.472239,1.94088
-0.472114,1.94122
-0.471989,1.94156
-0.471864,1.94259
-0.471739,1.94293
-0.471614,1.94259
-0.471489,1.94362
-0.471364,1.94464
-0.471239,1.94532
-0.471114,1.94601
-0.470989,1.94703
-0.470864,1.94772
-0.470739,1.94874
-0.470614,1.94908
-0.470489,1.95011
-0.470364,1.95079
-0.470239,1.95114
-0.470114,1.95216
-0.469989,1.9525
-0.469864,1.95284
-0.469739,1.95353
-0.469614,1.95353
-0.469489,1.95353
-0.469364,1.95319
-0.469239,1.95387
-0.469114,1.95387
-0.468989,1.95353
-0.468864,1.95319
-0.468739,1.95284
-0.468614,1.95319
-0.468489,1.95284
-0.468364,1.95319
-0.468239,1.95387
-0.468114,1.95387
-0.467989,1.95353
-0.467864,1.95284
-0.467739,1.95353
-0.467614,1.95353
-0.467489,1.9525
-0.467364,1.9525
-0.467239,1.95148
-0.467114,1.95216
-0.466989,1.95114
-0.466864,1.94977
-0.466739,1.94908
-0.466614,1.94874
-0.466489,1.94669
-0.466364,1.94601
-0.466239,1.94498
-0.466114,1.9443
-0.465989,1.94464
-0.465864,1.94396
-0.465739,1.94327
-0.465614,1.94156
-0.465489,1.94191
-0.465364,1.94088
-0.465239,1.9402
-0.465114,1.93917
-0.464989,1.93917
-0.464864,1.9378
-0.464739,1.93678
-0.464614,1.9361
-0.464489,1.93541
-0.464364,1.93439
-0.464239,1.93439
-0.464114,1.9337
-0.463989,1.93268
-0.463864,1.93199
-0.463739,1.93131
-0.463614,1.93029
-0.463489,1.92994
-0.463364,1.92892
-0.463239,1.92823
-0.463114,1.92755
-0.462989,1.92721
-0.462864,1.92721
-0.462739,1.92687
-0.462614,1.92618
-0.462489,1.92618
-0.462364,1.9255
-0.462239,1.92482
-0.462114,1.92516
-0.461989,1.92447
-0.461864,1.92379
-0.461739,1.92345
-0.461614,1.92242
-0.461489,1.92174
-0.461364,1.9214
-0.461239,1.92037
-0.461114,1.92003
-0.460989,1.91901
-0.460864,1.91866
-0.460739,1.91832
-0.460614,1.91696
-0.460489,1.91696
-0.460364,1.91661
-0.460239,1.91559
-0.460114,1.91456
-0.459989,1.91422
-0.459864,1.91285
-0.459739,1.91114
-0.459614,1.90978
-0.459489,1.90909
-0.459364,1.90807
-0.459239,1.9067
-0.459114,1.90533
-0.458989,1.90499
-0.458864,1.90328
-0.458739,1.90157
-0.458614,1.90089
-0.458489,1.89884
-0.458364,1.89781
-0.458239,1.89713
-0.458114,1.89542
-0.457989,1.8944
-0.457864,1.89371
-0.457739,1.89235
-0.457614,1.89132
-0.457489,1.89166
-0.457364,1.89132
-0.457239,1.89029
-0.457114,1.88927
-0.456989,1.88859
-0.456864,1.88859
-0.456739,1.88756
-0.456614,1.88653
-0.456489,1.88517
-0.456364,1.88483
-0.456239,1.88517
-0.456114,1.88448
-0.455989,1.88346
-0.455864,1.88346
-0.455739,1.88312
-0.455614,1.88243
-0.455489,1.88243
-0.455364,1.88107
-0.455239,1.88107
-0.455114,1.8797
-0.454989,1.87799
-0.454864,1.87867
-0.454739,1.87731
-0.454614,1.87731
-0.454489,1.87662
-0.454364,1.87594
-0.454239,1.87526
-0.454114,1.87491
-0.453989,1.87389
-0.453864,1.87355
-0.453739,1.87286
-0.453614,1.87218
-0.453489,1.87218
-0.453364,1.87115
-0.453239,1.87013
-0.453114,1.8691
-0.452989,1.86842
-0.452864,1.86705
-0.452739,1.86603
-0.452614,1.86432
-0.452489,1.86295
-0.452364,1.86227
-0.452239,1.86124
-0.452114,1.86022
-0.451989,1.85885
-0.451864,1.85714
-0.451739,1.8568
-0.451614,1.85611
-0.451489,1.85475
-0.451364,1.85338
-0.451239,1.8527
-0.451114,1.85133
-0.450989,1.8503
-0.450864,1.84962
-0.450739,1.8486
-0.450614,1.84825
-0.450489,1.84757
-0.450364,1.84689
-0.450239,1.84654
-0.450114,1.84586
-0.449989,1.84518
-0.449864,1.84347
-0.449739,1.84244
-0.449614,1.84142
-0.449489,1.84005
-0.449364,1.83902
-0.449239,1.83766
-0.449114,1.83697
-0.448989,1.83697
-0.448864,1.83492
-0.448739,1.83321
-0.448614,1.83253
-0.448489,1.83185
-0.448364,1.83082
-0.448239,1.83014
-0.448114,1.82945
-0.447989,1.8298
-0.447864,1.8298
-0.447739,1.82843
-0.447614,1.82775
-0.447489,1.82809
-0.447364,1.82706
-0.447239,1.82706
-0.447114,1.82672
-0.446989,1.82638
-0.446864,1.82535
-0.446739,1.82501
-0.446614,1.82399
-0.446489,1.82228
-0.446364,1.82193
-0.446239,1.82091
-0.446114,1.82023
-0.445989,1.8192
-0.445864,1.81783
-0.445739,1.81817
-0.445614,1.81715
-0.445489,1.81715
-0.445364,1.81647
-0.445239,1.81578
-0.445114,1.81407
-0.444989,1.81407
-0.444864,1.81271
-0.444739,1.81236
-0.444614,1.81134
-0.444489,1.81031
-0.444364,1.80929
-0.444239,1.80929
-0.444114,1.80895
-0.443989,1.80792
-0.443864,1.80621
-0.443739,1.80587
-0.443614,1.80416
-0.443489,1.80348
-0.443364,1.80348
-0.443239,1.80211
-0.443114,1.80108
-0.442989,1.8004
-0.442864,1.79938
-0.442739,1.79835
-0.442614,1.79698
-0.442489,1.7963
-0.442364,1.79562
-0.442239,1.79562
-0.442114,1.79527
-0.441989,1.79493
-0.441864,1.79425
-0.441739,1.79357
-0.441614,1.79288
-0.441489,1.79186
-0.441364,1.79117
-0.441239,1.79049
-0.441114,1.78878
-0.440989,1.78844
-0.440864,1.78741
-0.440739,1.78707
-0.440614,1.78707
-0.440489,1.78707
-0.440364,1.78673
-0.440239,1.78673
-0.440114,1.78707
-0.439989,1.78707
-0.439864,1.78673
-0.439739,1.78605
-0.439614,1.78605
-0.439489,1.78536
-0.439364,1.78502
-0.439239,1.78502
-0.439114,1.78399
-0.438989,1.78331
-0.438864,1.78229
-0.438739,1.7816
-0.438614,1.78092
-0.438489,1.77955
-0.438364,1.77853
-0.438239,1.77716
-0.438114,1.77682
-0.437989,1.77648
-0.437864,1.77613
-0.437739,1.77579
-0.437614,1.77511
-0.437489,1.77511
-0.437364,1.77477
-0.437239,1.77477
-0.437114,1.77511
-0.436989,1.77477
-0.436864,1.77511
-0.436739,1.77545
-0.436614,1.77511
-0.436489,1.77477
-0.436364,1.77477
-0.436239,1.77477
-0.436114,1.77408
-0.435989,1.77374
-0.435864,1.77374
-0.435739,1.77306
-0.435614,1.77306
-0.435489,1.77237
-0.435364,1.77203
-0.435239,1.77272
-0.435114,1.7734
-0.434989,1.7734
-0.434864,1.7734
-0.434739,1.77272
-0.434614,1.77272
-0.434489,1.77237
-0.434364,1.77272
-0.434239,1.77203
-0.434114,1.77237
-0.433989,1.77203
-0.433864,1.77101
-0.433739,1.77203
-0.433614,1.77237
-0.433489,1.77237
-0.433364,1.77237
-0.433239,1.77169
-0.433114,1.77203
-0.432989,1.77169
-0.432864,1.77135
-0.432739,1.77169
-0.432614,1.77237
-0.432489,1.77066
-0.432364,1.77032
-0.432239,1.77101
-0.432114,1.76998
-0.431989,1.76896
-0.431864,1.76896
-0.431739,1.76896
-0.431614,1.7693
-0.431489,1.76998
-0.431364,1.77032
-0.431239,1.77135
-0.431114,1.77169
-0.430989,1.77203
-0.430864,1.77203
-0.430739,1.77203
-0.430614,1.77101
-0.430489,1.77066
-0.430364,1.77032
-0.430239,1.77066
-0.430114,1.77101
-0.429989,1.77101
-0.429864,1.77066
-0.429739,1.77203
-0.429614,1.77203
-0.429489,1.77203
-0.429364,1.77306
-0.429239,1.77374
-0.429114,1.77306
-0.428989,1.77306
-0.428864,1.77306
-0.428739,1.77306
-0.428614,1.77306
-0.428489,1.77272
-0.428364,1.77237
-0.428239,1.77203
-0.428114,1.77101
-0.427989,1.77032
-0.427864,1.77066
-0.427739,1.77066
-0.427614,1.77032
-0.427489,1.77066
-0.427364,1.77101
-0.427239,1.77169
-0.427114,1.77306
-0.426989,1.7734
-0.426864,1.7734
-0.426739,1.77442
-0.426614,1.77545
-0.426489,1.77613
-0.426364,1.77648
