#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41D55
#Date Time: 2020-05-22 13:50:45.263
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 2.75 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.511922,2.99123
-0.511797,2.99192
-0.511672,2.99226
-0.511547,2.99294
-0.511422,2.99328
-0.511297,2.9926
-0.511172,2.99363
-0.511047,2.99294
-0.510922,2.99192
-0.510797,2.99157
-0.510672,2.99192
-0.510547,2.9926
-0.510422,2.99328
-0.510297,2.99294
-0.510172,2.99363
-0.510047,2.99363
-0.509922,2.99328
-0.509797,2.99397
-0.509672,2.99363
-0.509547,2.99363
-0.509422,2.99431
-0.509297,2.99397
-0.509172,2.99397
-0.509047,2.99397
-0.508922,2.99363
-0.508797,2.99499
-0.508672,2.99499
-0.508547,2.99499
-0.508422,2.99533
-0.508297,2.99533
-0.508172,2.99533
-0.508047,2.99602
-0.507922,2.99568
-0.507797,2.99602
-0.507672,2.99602
-0.507547,2.99602
-0.507422,2.99602
-0.507297,2.99602
-0.507172,2.99568
-0.507047,2.99636
-0.506922,2.99636
-0.506797,2.99636
-0.506672,2.9967
-0.506547,2.99636
-0.506422,2.99636
-0.506297,2.9967
-0.506172,2.99602
-0.506047,2.9967
-0.505922,2.99636
-0.505797,2.9967
-0.505672,2.99704
-0.505547,2.99636
-0.505422,2.9967
-0.505297,2.99636
-0.505172,2.99636
-0.505047,2.99704
-0.504922,2.9967
-0.504797,2.99636
-0.504672,2.99704
-0.504547,2.9967
-0.504422,2.99602
-0.504297,2.9967
-0.504172,2.99636
-0.504047,2.99704
-0.503922,2.9967
-0.503797,2.9967
-0.503672,2.99704
-0.503547,2.9967
-0.503422,2.99533
-0.503297,2.99636
-0.503172,2.99602
-0.503047,2.99636
-0.502922,2.9967
-0.502797,2.99636
-0.502672,2.99636
-0.502547,2.99636
-0.502422,2.99499
-0.502297,2.99568
-0.502172,2.99568
-0.502047,2.99602
-0.501922,2.99636
-0.501797,2.99568
-0.501672,2.99568
-0.501547,2.99568
-0.501422,2.99533
-0.501297,2.99533
-0.501172,2.99533
-0.501047,2.99465
-0.500922,2.99499
-0.500797,2.99431
-0.500672,2.99363
-0.500547,2.99431
-0.500422,2.99431
-0.500297,2.99397
-0.500172,2.99431
-0.500047,2.99363
-0.499922,2.99363
-0.499797,2.99328
-0.499672,2.99294
-0.499547,2.99294
-0.499422,2.9926
-0.499297,2.99226
-0.499172,2.99192
-0.499047,2.99192
-0.498922,2.99089
-0.498797,2.99123
-0.498672,2.99089
-0.498547,2.99021
-0.498422,2.99055
-0.498297,2.98987
-0.498172,2.98918
-0.498047,2.98952
-0.497922,2.98884
-0.497797,2.98884
-0.497672,2.9885
-0.497547,2.98816
-0.497422,2.98816
-0.497297,2.98816
-0.497172,2.98713
-0.497047,2.98713
-0.496922,2.98645
-0.496797,2.98645
-0.496672,2.98645
-0.496547,2.98611
-0.496422,2.98645
-0.496297,2.98611
-0.496172,2.98508
-0.496047,2.98542
-0.495922,2.98303
-0.495797,2.98405
-0.495672,2.98474
-0.495547,2.98474
-0.495422,2.98474
-0.495297,2.9844
-0.495172,2.98371
-0.495047,2.98303
-0.494922,2.98235
-0.494797,2.98235
-0.494672,2.98337
-0.494547,2.98303
-0.494422,2.98303
-0.494297,2.98269
-0.494172,2.98235
-0.494047,2.98166
-0.493922,2.98098
-0.493797,2.98064
-0.493672,2.98166
-0.493547,2.98132
-0.493422,2.98098
-0.493297,2.98098
-0.493172,2.9803
-0.493047,2.9803
-0.492922,2.9803
-0.492797,2.97995
-0.492672,2.97995
-0.492547,2.97927
-0.492422,2.97859
-0.492297,2.97859
-0.492172,2.97893
-0.492047,2.97893
-0.491922,2.97927
-0.491797,2.97824
-0.491672,2.97824
-0.491547,2.97824
-0.491422,2.9779
-0.491297,2.97756
-0.491172,2.97756
-0.491047,2.97722
-0.490922,2.97688
-0.490797,2.97654
-0.490672,2.97654
-0.490547,2.97688
-0.490422,2.97654
-0.490297,2.97585
-0.490172,2.97654
-0.490047,2.97585
-0.489922,2.97585
-0.489797,2.97619
-0.489672,2.97551
-0.489547,2.97517
-0.489422,2.97551
-0.489297,2.97483
-0.489172,2.97585
-0.489047,2.97551
-0.488922,2.97551
-0.488797,2.97551
-0.488672,2.97517
-0.488547,2.97517
-0.488422,2.97585
-0.488297,2.97551
-0.488172,2.97585
-0.488047,2.97585
-0.487922,2.97619
-0.487797,2.97654
-0.487672,2.97585
-0.487547,2.97517
-0.487422,2.97619
-0.487297,2.97619
-0.487172,2.97619
-0.487047,2.97722
-0.486922,2.97688
-0.486797,2.97654
-0.486672,2.97619
-0.486547,2.97654
-0.486422,2.97688
-0.486297,2.97756
-0.486172,2.97688
-0.486047,2.97756
-0.485922,2.97756
-0.485797,2.97688
-0.485672,2.97756
-0.485547,2.97722
-0.485422,2.97756
-0.485297,2.9779
-0.485172,2.97756
-0.485047,2.9779
-0.484922,2.9779
-0.484797,2.97722
-0.484672,2.97756
-0.484547,2.97722
-0.484422,2.97722
-0.484297,2.97722
-0.484172,2.97722
-0.484047,2.97722
-0.483922,2.97688
-0.483797,2.97722
-0.483672,2.97756
-0.483547,2.9779
-0.483422,2.97756
-0.483297,2.97756
-0.483172,2.97722
-0.483047,2.97688
-0.482922,2.97722
-0.482797,2.97688
-0.482672,2.97722
-0.482547,2.97722
-0.482422,2.97654
-0.482297,2.97722
-0.482172,2.97654
-0.482047,2.97654
-0.481922,2.97654
-0.481797,2.97619
-0.481672,2.97619
-0.481547,2.97688
-0.481422,2.97688
-0.481297,2.97688
-0.481172,2.97688
-0.481047,2.97654
-0.480922,2.97722
-0.480797,2.97654
-0.480672,2.97688
-0.480547,2.97722
-0.480422,2.9779
-0.480297,2.97756
-0.480172,2.97756
-0.480047,2.97688
-0.479922,2.97756
-0.479797,2.9779
-0.479672,2.97722
-0.479547,2.97859
-0.479422,2.9779
-0.479297,2.9779
-0.479172,2.97654
-0.479047,2.97756
-0.478922,2.9779
-0.478797,2.97893
-0.478672,2.97893
-0.478547,2.97893
-0.478422,2.97859
-0.478297,2.97756
-0.478172,2.97859
-0.478047,2.97893
-0.477922,2.97893
-0.477797,2.97995
-0.477672,2.97961
-0.477547,2.97961
-0.477422,2.97893
-0.477297,2.97859
-0.477172,2.97893
-0.477047,2.97995
-0.476922,2.97995
-0.476797,2.97961
-0.476672,2.9803
-0.476547,2.97961
-0.476422,2.97995
-0.476297,2.9803
-0.476172,2.97995
-0.476047,2.98064
-0.475922,2.97995
-0.475797,2.97961
-0.475672,2.97961
-0.475547,2.97995
-0.475422,2.98064
-0.475297,2.98098
-0.475172,2.9803
-0.475047,2.98098
-0.474922,2.98064
-0.474797,2.98064
-0.474672,2.98064
-0.474547,2.9803
-0.474422,2.9803
-0.474297,2.98064
-0.474172,2.97995
-0.474047,2.97995
-0.473922,2.9803
-0.473797,2.97961
-0.473672,2.9803
-0.473547,2.97995
-0.473422,2.97961
-0.473297,2.97995
-0.473172,2.97961
-0.473047,2.97927
-0.472922,2.97961
-0.472797,2.97927
-0.472672,2.97893
-0.472547,2.97893
-0.472422,2.97824
-0.472297,2.97859
-0.472172,2.97859
-0.472047,2.9779
-0.471922,2.97824
-0.471797,2.97824
-0.471672,2.9779
-0.471547,2.97824
-0.471422,2.9779
-0.471297,2.9779
-0.471172,2.9779
-0.471047,2.97722
-0.470922,2.9779
-0.470797,2.9779
