#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A41D55
#Date Time: 2020-05-21 14:23:34.028
#Sample rate: 8000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Falling Level: 1.6 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 500 mV/div Offset: -1.5 V
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 3.3 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.511912,1.95797
-0.511787,1.95729
-0.511662,1.95558
-0.511537,1.95558
-0.511412,1.95489
-0.511287,1.95353
-0.511162,1.95216
-0.511037,1.95148
-0.510912,1.95045
-0.510787,1.94977
-0.510662,1.94806
-0.510537,1.94738
-0.510412,1.94635
-0.510287,1.94532
-0.510162,1.9443
-0.510037,1.9443
-0.509912,1.94293
-0.509787,1.94156
-0.509662,1.94122
-0.509537,1.94088
-0.509412,1.94088
-0.509287,1.94054
-0.509162,1.93986
-0.509037,1.93986
-0.508912,1.93883
-0.508787,1.93815
-0.508662,1.93712
-0.508537,1.93678
-0.508412,1.93746
-0.508287,1.93746
-0.508162,1.93644
-0.508037,1.93575
-0.507912,1.93575
-0.507787,1.93575
-0.507662,1.93541
-0.507537,1.93541
-0.507412,1.93575
-0.507287,1.93575
-0.507162,1.93507
-0.507037,1.93473
-0.506912,1.93439
-0.506787,1.93473
-0.506662,1.93439
-0.506537,1.93439
-0.506412,1.93405
-0.506287,1.93575
-0.506162,1.93541
-0.506037,1.9361
-0.505912,1.9361
-0.505787,1.9361
-0.505662,1.93644
-0.505537,1.93644
-0.505412,1.9361
-0.505287,1.93712
-0.505162,1.9378
-0.505037,1.9378
-0.504912,1.9378
-0.504787,1.93746
-0.504662,1.93849
-0.504537,1.93849
-0.504412,1.93849
-0.504287,1.93883
-0.504162,1.93883
-0.504037,1.93883
-0.503912,1.93986
-0.503787,1.93986
-0.503662,1.9402
-0.503537,1.94054
-0.503412,1.94088
-0.503287,1.94122
-0.503162,1.94191
-0.503037,1.94225
-0.502912,1.94327
-0.502787,1.94362
-0.502662,1.94327
-0.502537,1.94396
-0.502412,1.9443
-0.502287,1.94464
-0.502162,1.94567
-0.502037,1.94567
-0.501912,1.94635
-0.501787,1.94601
-0.501662,1.94601
-0.501537,1.94635
-0.501412,1.94601
-0.501287,1.94635
-0.501162,1.94703
-0.501037,1.94738
-0.500912,1.94738
-0.500787,1.94703
-0.500662,1.94703
-0.500537,1.94772
-0.500412,1.94806
-0.500287,1.94874
-0.500162,1.94806
-0.500037,1.9484
-0.499912,1.94874
-0.499787,1.94943
-0.499662,1.95045
-0.499537,1.94977
-0.499412,1.94977
-0.499287,1.94977
-0.499162,1.95011
-0.499037,1.94908
-0.498912,1.94977
-0.498787,1.95011
-0.498662,1.95011
-0.498537,1.95045
-0.498412,1.95148
-0.498287,1.95284
-0.498162,1.95353
-0.498037,1.95421
-0.497912,1.95455
-0.497787,1.95489
-0.497662,1.95626
-0.497537,1.95695
-0.497412,1.95729
-0.497287,1.95763
-0.497162,1.95763
-0.497037,1.95831
-0.496912,1.95865
-0.496787,1.95968
-0.496662,1.96071
-0.496537,1.96207
-0.496412,1.96241
-0.496287,1.96412
-0.496162,1.96515
-0.496037,1.96583
-0.495912,1.96617
-0.495787,1.96686
-0.495662,1.96823
-0.495537,1.96891
-0.495412,1.96993
-0.495287,1.97164
-0.495162,1.97267
-0.495037,1.97335
-0.494912,1.97404
-0.494787,1.97574
-0.494662,1.97745
-0.494537,1.97848
-0.494412,1.97985
-0.494287,1.98121
-0.494162,1.98156
-0.494037,1.98361
-0.493912,1.98532
-0.493787,1.986
-0.493662,1.98702
-0.493537,1.98805
-0.493412,1.98873
-0.493287,1.98942
-0.493162,1.99044
-0.493037,1.99181
-0.492912,1.99283
-0.492787,1.99352
-0.492662,1.9942
-0.492537,1.99591
-0.492412,1.99659
-0.492287,1.99728
-0.492162,1.99865
-0.492037,1.99967
-0.491912,2.0007
-0.491787,2.00172
-0.491662,2.00206
-0.491537,2.00343
-0.491412,2.00411
-0.491287,2.00548
-0.491162,2.00582
-0.491037,2.00651
-0.490912,2.00719
-0.490787,2.0089
-0.490662,2.00958
-0.490537,2.01061
-0.490412,2.01163
-0.490287,2.013
-0.490162,2.01437
-0.490037,2.01539
-0.489912,2.01574
-0.489787,2.01744
-0.489662,2.01847
-0.489537,2.02018
-0.489412,2.02086
-0.489287,2.02223
-0.489162,2.02325
-0.489037,2.02428
-0.488912,2.02496
-0.488787,2.02599
-0.488662,2.02667
-0.488537,2.0277
-0.488412,2.02838
-0.488287,2.02872
-0.488162,2.03009
-0.488037,2.03112
-0.487912,2.03112
-0.487787,2.0318
-0.487662,2.03283
-0.487537,2.03317
-0.487412,2.03351
-0.487287,2.03453
-0.487162,2.03522
-0.487037,2.03556
-0.486912,2.0359
-0.486787,2.03693
-0.486662,2.03795
-0.486537,2.03898
-0.486412,2.03966
-0.486287,2.04034
-0.486162,2.04103
-0.486037,2.04205
-0.485912,2.04308
-0.485787,2.04445
-0.485662,2.04581
-0.485537,2.04616
-0.485412,2.04684
-0.485287,2.04752
-0.485162,2.04786
-0.485037,2.04889
-0.484912,2.04923
-0.484787,2.04992
-0.484662,2.05128
-0.484537,2.05231
-0.484412,2.05299
-0.484287,2.05436
-0.484162,2.05538
-0.484037,2.05641
-0.483912,2.05709
-0.483787,2.05778
-0.483662,2.05846
-0.483537,2.05983
-0.483412,2.06085
-0.483287,2.06085
-0.483162,2.06222
-0.483037,2.06393
-0.482912,2.06495
-0.482787,2.06598
-0.482662,2.06598
-0.482537,2.06735
-0.482412,2.06803
-0.482287,2.06906
-0.482162,2.07042
-0.482037,2.07042
-0.481912,2.07179
-0.481787,2.07316
-0.481662,2.07384
-0.481537,2.07418
-0.481412,2.07521
-0.481287,2.07555
-0.481162,2.07726
-0.481037,2.07863
-0.480912,2.07965
-0.480787,2.08068
-0.480662,2.0817
-0.480537,2.08273
-0.480412,2.08341
-0.480287,2.08375
-0.480162,2.08512
-0.480037,2.08683
-0.479912,2.08751
-0.479787,2.08854
-0.479662,2.08956
-0.479537,2.09025
-0.479412,2.09059
-0.479287,2.09127
-0.479162,2.09264
-0.479037,2.09367
-0.478912,2.09367
-0.478787,2.09469
-0.478662,2.09606
-0.478537,2.0964
-0.478412,2.09777
-0.478287,2.09811
-0.478162,2.09879
-0.478037,2.09982
-0.477912,2.10119
-0.477787,2.10221
-0.477662,2.10289
-0.477537,2.10358
-0.477412,2.10426
-0.477287,2.10529
-0.477162,2.10631
-0.477037,2.10665
-0.476912,2.107
-0.476787,2.10734
-0.476662,2.10802
-0.476537,2.10905
-0.476412,2.10939
-0.476287,2.11076
-0.476162,2.11246
-0.476037,2.11315
-0.475912,2.11383
-0.475787,2.11486
-0.475662,2.11554
-0.475537,2.11657
-0.475412,2.11725
-0.475287,2.11759
-0.475162,2.11828
-0.475037,2.11896
-0.474912,2.11964
-0.474787,2.11964
-0.474662,2.11998
-0.474537,2.12033
-0.474412,2.12135
-0.474287,2.12101
-0.474162,2.12204
-0.474037,2.12204
-0.473912,2.12101
-0.473787,2.12204
-0.473662,2.12272
-0.473537,2.12238
-0.473412,2.12306
-0.473287,2.1234
-0.473162,2.1234
-0.473037,2.1234
-0.472912,2.1234
-0.472787,2.12374
-0.472662,2.1234
-0.472537,2.12306
-0.472412,2.12306
-0.472287,2.12238
-0.472162,2.12204
-0.472037,2.12272
-0.471912,2.12204
-0.471787,2.12169
-0.471662,2.12169
-0.471537,2.12169
-0.471412,2.12169
-0.471287,2.12101
-0.471162,2.12067
-0.471037,2.12067
-0.470912,2.12033
-0.470787,2.11964
-0.470662,2.11964
-0.470537,2.1193
-0.470412,2.11828
-0.470287,2.11862
-0.470162,2.11828
-0.470037,2.11759
-0.469912,2.11691
-0.469787,2.11691
-0.469662,2.11657
-0.469537,2.11588
-0.469412,2.11486
-0.469287,2.11417
-0.469162,2.11383
-0.469037,2.11315
-0.468912,2.11178
-0.468787,2.11007
-0.468662,2.10939
-0.468537,2.1087
-0.468412,2.10802
-0.468287,2.10597
-0.468162,2.10495
-0.468037,2.10392
-0.467912,2.10358
-0.467787,2.10289
-0.467662,2.10153
-0.467537,2.1005
-0.467412,2.09982
-0.467287,2.09845
-0.467162,2.09674
-0.467037,2.09606
-0.466912,2.09503
-0.466787,2.09298
-0.466662,2.0923
-0.466537,2.09093
-0.466412,2.09025
-0.466287,2.08956
-0.466162,2.08786
-0.466037,2.08649
-0.465912,2.08512
-0.465787,2.08444
-0.465662,2.08375
-0.465537,2.08204
-0.465412,2.08136
-0.465287,2.08068
-0.465162,2.07863
-0.465037,2.07794
-0.464912,2.07658
-0.464787,2.07521
-0.464662,2.0735
-0.464537,2.07282
-0.464412,2.07179
-0.464287,2.07042
-0.464162,2.06871
-0.464037,2.06735
-0.463912,2.06701
-0.463787,2.06632
-0.463662,2.06564
-0.463537,2.06325
-0.463412,2.06222
-0.463287,2.06085
-0.463162,2.05949
-0.463037,2.05846
-0.462912,2.05778
-0.462787,2.05743
-0.462662,2.05675
-0.462537,2.05573
-0.462412,2.05402
-0.462287,2.05299
-0.462162,2.05333
-0.462037,2.05231
-0.461912,2.05128
-0.461787,2.0506
-0.461662,2.04923
-0.461537,2.04855
-0.461412,2.04889
-0.461287,2.04821
-0.461162,2.04752
-0.461037,2.04786
-0.460912,2.04684
-0.460787,2.04616
-0.460662,2.04581
-0.460537,2.04445
-0.460412,2.04513
-0.460287,2.04445
-0.460162,2.0441
-0.460037,2.0441
-0.459912,2.0441
-0.459787,2.04376
-0.459662,2.04376
-0.459537,2.04376
-0.459412,2.04376
-0.459287,2.0441
-0.459162,2.04342
-0.459037,2.04376
-0.458912,2.0441
-0.458787,2.04342
-0.458662,2.04308
-0.458537,2.04342
-0.458412,2.04308
-0.458287,2.04342
-0.458162,2.04308
-0.458037,2.04342
-0.457912,2.04274
-0.457787,2.0424
-0.457662,2.04205
-0.457537,2.04205
-0.457412,2.04171
-0.457287,2.0424
-0.457162,2.04205
-0.457037,2.04137
-0.456912,2.04171
-0.456787,2.04137
-0.456662,2.04103
-0.456537,2.04137
-0.456412,2.04137
-0.456287,2.04171
-0.456162,2.04069
-0.456037,2.04034
-0.455912,2.04069
-0.455787,2.04034
-0.455662,2.04
-0.455537,2.04
-0.455412,2.04
-0.455287,2.04034
-0.455162,2.03966
-0.455037,2.03898
-0.454912,2.03898
-0.454787,2.03898
-0.454662,2.03864
-0.454537,2.03761
-0.454412,2.03727
-0.454287,2.03659
-0.454162,2.0359
-0.454037,2.03556
-0.453912,2.03453
-0.453787,2.03385
-0.453662,2.03283
-0.453537,2.03214
-0.453412,2.03146
-0.453287,2.03112
-0.453162,2.03112
-0.453037,2.03077
-0.452912,2.03043
-0.452787,2.02907
-0.452662,2.02907
-0.452537,2.02872
-0.452412,2.02804
-0.452287,2.02736
-0.452162,2.02667
-0.452037,2.02633
-0.451912,2.02565
-0.451787,2.02531
-0.451662,2.02462
-0.451537,2.0236
-0.451412,2.02325
-0.451287,2.02291
-0.451162,2.02325
-0.451037,2.02291
-0.450912,2.02223
-0.450787,2.0212
-0.450662,2.02018
-0.450537,2.01984
-0.450412,2.01915
-0.450287,2.01847
-0.450162,2.01847
-0.450037,2.01676
-0.449912,2.01574
-0.449787,2.01505
-0.449662,2.01471
-0.449537,2.01403
-0.449412,2.013
-0.449287,2.01198
-0.449162,2.01095
-0.449037,2.01061
-0.448912,2.00924
-0.448787,2.00856
-0.448662,2.00753
-0.448537,2.00651
-0.448412,2.00548
-0.448287,2.0048
-0.448162,2.00343
-0.448037,2.00275
-0.447912,2.00138
-0.447787,2.0007
-0.447662,2.00035
-0.447537,1.99967
-0.447412,1.99865
-0.447287,1.99865
-0.447162,1.99796
-0.447037,1.99659
-0.446912,1.99557
-0.446787,1.99489
-0.446662,1.99454
-0.446537,1.99386
-0.446412,1.99249
-0.446287,1.99249
-0.446162,1.99113
-0.446037,1.99044
-0.445912,1.98942
-0.445787,1.98942
-0.445662,1.98907
-0.445537,1.98873
-0.445412,1.98907
-0.445287,1.98805
-0.445162,1.98702
-0.445037,1.98566
-0.444912,1.98497
-0.444787,1.98463
-0.444662,1.98463
-0.444537,1.98395
-0.444412,1.98326
-0.444287,1.98224
-0.444162,1.98258
-0.444037,1.9819
-0.443912,1.98087
-0.443787,1.97985
-0.443662,1.97882
-0.443537,1.97814
-0.443412,1.97848
-0.443287,1.97848
-0.443162,1.9778
-0.443037,1.97711
-0.442912,1.97643
-0.442787,1.97609
-0.442662,1.97609
-0.442537,1.97574
-0.442412,1.9754
-0.442287,1.97574
-0.442162,1.97609
-0.442037,1.97574
-0.441912,1.97506
-0.441787,1.97438
-0.441662,1.97438
-0.441537,1.97438
-0.441412,1.97404
-0.441287,1.97472
-0.441162,1.97404
-0.441037,1.97404
-0.440912,1.97404
-0.440787,1.97369
-0.440662,1.97301
-0.440537,1.97267
-0.440412,1.97233
-0.440287,1.97233
-0.440162,1.97198
-0.440037,1.97164
-0.439912,1.97233
-0.439787,1.97164
-0.439662,1.97164
-0.439537,1.97198
-0.439412,1.97198
-0.439287,1.9713
-0.439162,1.9713
-0.439037,1.9713
-0.438912,1.9713
-0.438787,1.97164
-0.438662,1.97164
-0.438537,1.97164
-0.438412,1.9713
-0.438287,1.97096
-0.438162,1.97062
-0.438037,1.96959
-0.437912,1.96925
-0.437787,1.96959
-0.437662,1.96857
-0.437537,1.96891
-0.437412,1.96925
-0.437287,1.96891
-0.437162,1.96891
-0.437037,1.96857
-0.436912,1.96823
-0.436787,1.96788
-0.436662,1.96754
-0.436537,1.96754
-0.436412,1.96857
-0.436287,1.96891
-0.436162,1.96925
-0.436037,1.96993
-0.435912,1.97062
-0.435787,1.97062
-0.435662,1.9713
-0.435537,1.97164
-0.435412,1.97198
-0.435287,1.97267
-0.435162,1.97267
-0.435037,1.97267
-0.434912,1.97267
-0.434787,1.97335
-0.434662,1.97438
-0.434537,1.97506
-0.434412,1.97574
-0.434287,1.97574
-0.434162,1.9754
-0.434037,1.97643
-0.433912,1.97643
-0.433787,1.97745
-0.433662,1.97814
-0.433537,1.97848
-0.433412,1.97882
-0.433287,1.9795
-0.433162,1.98019
-0.433037,1.98053
-0.432912,1.98156
-0.432787,1.98258
-0.432662,1.98292
-0.432537,1.98361
-0.432412,1.98395
-0.432287,1.98395
-0.432162,1.98463
-0.432037,1.98497
-0.431912,1.98566
-0.431787,1.986
-0.431662,1.98634
-0.431537,1.98702
-0.431412,1.98771
-0.431287,1.98839
-0.431162,1.98873
-0.431037,1.98873
-0.430912,1.9901
-0.430787,1.99181
-0.430662,1.99113
-0.430537,1.99147
-0.430412,1.99215
-0.430287,1.99215
-0.430162,1.99249
-0.430037,1.99318
-0.429912,1.99386
-0.429787,1.99523
-0.429662,1.99591
-0.429537,1.99591
-0.429412,1.99694
-0.429287,1.99728
-0.429162,1.99796
-0.429037,1.99933
-0.428912,1.99967
-0.428787,2.00035
-0.428662,2.00104
-0.428537,2.00206
-0.428412,2.00309
-0.428287,2.00377
-0.428162,2.00411
-0.428037,2.00514
-0.427912,2.00651
-0.427787,2.00719
-0.427662,2.00856
-0.427537,2.00924
-0.427412,2.01061
-0.427287,2.01198
-0.427162,2.01266
-0.427037,2.01403
-0.426912,2.01539
-0.426787,2.01676
-0.426662,2.01744
-0.426537,2.01813
-0.426412,2.01984
-0.426287,2.02155
-0.426162,2.02223
-0.426037,2.02394
-0.425912,2.02462
-0.425787,2.02565
-0.425662,2.02736
-0.425537,2.02872
-0.425412,2.03043
-0.425287,2.03077
-0.425162,2.03214
-0.425037,2.03488
